symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RELI,2018-08-21 00:00:00+00:00,0.0069,0.0069,0.0064,0.0064,164600,8.870985,8.870985,8.22816,8.22816,128,0.0,1.0
RELI,2018-08-22 00:00:00+00:00,0.0068,0.0068,0.0061,0.0063,241000,8.74242,8.74242,7.842465,8.099595,187,0.0,1.0
RELI,2018-08-23 00:00:00+00:00,0.0058,0.0058,0.005,0.0057,763310,7.45677,7.45677,6.42825,7.328205,593,0.0,1.0
RELI,2018-08-24 00:00:00+00:00,0.0062,0.0064,0.0062,0.0062,9000,7.97103,8.22816,7.97103,7.97103,7,0.0,1.0
RELI,2018-08-27 00:00:00+00:00,0.0065,0.0065,0.0065,0.0065,2000,8.356725,8.356725,8.356725,8.356725,1,0.0,1.0
RELI,2018-08-28 00:00:00+00:00,0.0065,0.0065,0.006,0.006,10410,8.356725,8.356725,7.7139,7.7139,8,0.0,1.0
RELI,2018-08-29 00:00:00+00:00,0.006,0.006,0.0055,0.0055,42000,7.7139,7.7139,7.071075,7.071075,32,0.0,1.0
RELI,2018-08-30 00:00:00+00:00,0.0064,0.0064,0.0064,0.0064,2000,8.22816,8.22816,8.22816,8.22816,1,0.0,1.0
RELI,2018-08-31 00:00:00+00:00,0.0064,0.0064,0.0055,0.0055,103181,8.22816,8.22816,7.071075,7.071075,80,0.0,1.0
RELI,2018-09-04 00:00:00+00:00,0.0064,0.0065,0.0064,0.0064,60000,8.22816,8.356725,8.22816,8.22816,46,0.0,1.0
RELI,2018-09-05 00:00:00+00:00,0.0068,0.0068,0.00595,0.00595,325572,8.74242,8.74242,7.6496175,7.6496175,253,0.0,1.0
RELI,2018-09-07 00:00:00+00:00,0.0082,0.009,0.0061,0.0061,152500,10.54233,11.57085,7.842465,7.842465,118,0.0,1.0
RELI,2018-09-10 00:00:00+00:00,0.0085,0.009,0.00778,0.0078,79500,10.928025,11.57085,10.002357,10.02807,61,0.0,1.0
RELI,2018-09-12 00:00:00+00:00,0.009,0.009,0.0055,0.0064,503719,11.57085,11.57085,7.071075,8.22816,391,0.0,1.0
RELI,2018-09-14 00:00:00+00:00,0.009,0.009,0.00848,0.0085,268500,11.57085,11.57085,10.902312,10.928025,208,0.0,1.0
RELI,2018-09-18 00:00:00+00:00,0.0085,0.0085,0.00834,0.0085,114449,10.928025,10.928025,10.722321,10.928025,89,0.0,1.0
RELI,2018-09-19 00:00:00+00:00,0.009,0.009,0.0069,0.0085,19000,11.57085,11.57085,8.870985,10.928025,14,0.0,1.0
RELI,2018-09-20 00:00:00+00:00,0.0087,0.00887,0.0056,0.0069,164745,11.185155,11.4037155,7.19964,8.870985,128,0.0,1.0
RELI,2018-09-21 00:00:00+00:00,0.0079,0.008,0.0079,0.008,39308,10.156635,10.2852,10.156635,10.2852,30,0.0,1.0
RELI,2018-09-24 00:00:00+00:00,0.0215,0.02985,0.0119,0.0119,7633693,27.641475,38.3766525,15.299235,15.299235,5937,0.0,1.0
RELI,2018-09-25 00:00:00+00:00,0.0193,0.023,0.0158,0.023,2058352,24.813045,29.56995,20.31327,29.56995,1601,0.0,1.0
RELI,2018-09-26 00:00:00+00:00,0.0145,0.0195,0.014,0.0165,646234,18.641925,25.070175,17.9991,21.213225,502,0.0,1.0
RELI,2018-09-27 00:00:00+00:00,0.027,0.0321,0.019,0.0195,2874707,34.71255,41.269365,24.42735,25.070175,2235,0.0,1.0
RELI,2018-09-28 00:00:00+00:00,0.027,0.0298,0.02,0.027,1085428,34.71255,38.31237,25.713,34.71255,844,0.0,1.0
RELI,2018-10-01 00:00:00+00:00,0.033675,0.041,0.021,0.027,1634522,43.29426375,52.71165,26.99865,34.71255,1271,0.0,1.0
RELI,2018-10-02 00:00:00+00:00,0.0325,0.035,0.0268,0.034,1322899,41.783625,44.99775,34.45542,43.7121,1028,0.0,1.0
RELI,2018-10-03 00:00:00+00:00,0.0262,0.034,0.0225,0.03,783875,33.68403,43.7121,28.927125,38.5695,609,0.0,1.0
RELI,2018-10-04 00:00:00+00:00,0.027,0.0329,0.022,0.022,543575,34.71255,42.297885,28.2843,28.2843,422,0.0,1.0
